timestamp;buyer;seller;symbol;currency;price;quantity
800;Valentina;Valentina;COCONUT_COUPON;SEASHELLS;636.0;5
900;Valentina;Vinnie;COCONUT_COUPON;SEASHELLS;634.0;17
1100;Valentina;Ruby;COCONUT_COUPON;SEASHELLS;635.0;17
1900;Valentina;Vinnie;COCONUT_COUPON;SEASHELLS;635.0;16
2000;Valentina;Vinnie;COCONUT_COUPON;SEASHELLS;637.0;14
3000;Valentina;Valentina;COCONUT_COUPON;SEASHELLS;631.0;6
3900;Vinnie;Vinnie;COCONUT_COUPON;SEASHELLS;635.0;2
3900;Vladimir;Vinnie;COCONUT_COUPON;SEASHELLS;635.0;10
4200;Ruby;Valentina;COCONUT_COUPON;SEASHELLS;635.0;20
4300;Valentina;Vinnie;COCONUT_COUPON;SEASHELLS;635.0;16
4300;Vladimir;Vinnie;COCONUT_COUPON;SEASHELLS;635.0;2
4900;Valentina;Ruby;COCONUT_COUPON;SEASHELLS;636.0;12
5200;Vinnie;Vinnie;COCONUT;SEASHELLS;9997.0;8
6500;Valentina;Rhianna;COCONUT_COUPON;SEASHELLS;642.0;9
6800;Valentina;Vinnie;COCONUT_COUPON;SEASHELLS;643.0;11
7900;Valentina;Ruby;COCONUT_COUPON;SEASHELLS;635.0;18
8900;Valentina;Vinnie;COCONUT_COUPON;SEASHELLS;639.0;15
8900;Vladimir;Vinnie;COCONUT_COUPON;SEASHELLS;639.0;5
9300;Raj;Vinnie;COCONUT;SEASHELLS;10005.0;6
10500;Valentina;Ruby;COCONUT_COUPON;SEASHELLS;635.0;16
10500;Vladimir;Ruby;COCONUT_COUPON;SEASHELLS;635.0;4
10900;Vinnie;Vinnie;COCONUT;SEASHELLS;10007.0;10
12500;Vinnie;Raj;COCONUT;SEASHELLS;10003.0;10
14500;Valentina;Rhianna;COCONUT_COUPON;SEASHELLS;641.0;11
14600;Valentina;Valentina;COCONUT_COUPON;SEASHELLS;641.0;6
14600;Valentina;Vinnie;COCONUT_COUPON;SEASHELLS;641.0;11
14900;Vinnie;Vinnie;COCONUT;SEASHELLS;10004.0;10
15300;Valentina;Vinnie;COCONUT_COUPON;SEASHELLS;641.0;14
15500;Ruby;Valentina;COCONUT_COUPON;SEASHELLS;639.0;16
15500;Ruby;Vladimir;COCONUT_COUPON;SEASHELLS;639.0;4
16000;Vinnie;Vinnie;COCONUT;SEASHELLS;10001.0;8
16200;Vinnie;Vinnie;COCONUT;SEASHELLS;10000.0;10
16400;Valentina;Ruby;COCONUT_COUPON;SEASHELLS;635.0;11
16600;Valentina;Valentina;COCONUT_COUPON;SEASHELLS;633.0;9
17100;Vinnie;Vinnie;COCONUT;SEASHELLS;10000.0;10
18400;Ruby;Valentina;COCONUT_COUPON;SEASHELLS;638.0;14
20100;Vinnie;Vinnie;COCONUT;SEASHELLS;9990.0;5
20100;Vinnie;Raj;COCONUT;SEASHELLS;9990.0;10
20700;Valentina;Valentina;COCONUT_COUPON;SEASHELLS;631.0;6
20800;Vinnie;Raj;COCONUT;SEASHELLS;9993.0;10
22900;Valentina;Valentina;COCONUT_COUPON;SEASHELLS;627.0;7
23600;Vinnie;Vinnie;COCONUT;SEASHELLS;9988.0;7
23800;Vinnie;Vinnie;COCONUT;SEASHELLS;9988.0;5
24900;Vinnie;Vinnie;COCONUT;SEASHELLS;9990.0;6
25400;Vinnie;Vinnie;COCONUT;SEASHELLS;9991.0;10
25700;Vinnie;Vinnie;COCONUT;SEASHELLS;9993.0;9
26500;Rhianna;Vinnie;COCONUT;SEASHELLS;9996.0;3
26600;Valentina;Vinnie;COCONUT_COUPON;SEASHELLS;625.0;17
26600;Vladimir;Valentina;COCONUT_COUPON;SEASHELLS;625.0;10
26800;Valentina;Vinnie;COCONUT_COUPON;SEASHELLS;623.0;20
29400;Valentina;Vinnie;COCONUT_COUPON;SEASHELLS;624.0;20
30200;Vinnie;Vinnie;COCONUT;SEASHELLS;9994.0;7
30500;Vinnie;Vinnie;COCONUT;SEASHELLS;9993.0;9
31000;Valentina;Vinnie;COCONUT_COUPON;SEASHELLS;628.0;19
31300;Vinnie;Vinnie;COCONUT;SEASHELLS;9993.0;7
31800;Ruby;Valentina;COCONUT_COUPON;SEASHELLS;637.0;11
32400;Vinnie;Vinnie;COCONUT;SEASHELLS;9993.0;5
33000;Vinnie;Rhianna;COCONUT;SEASHELLS;9994.0;1
33100;Valentina;Vinnie;COCONUT_COUPON;SEASHELLS;637.0;15
33200;Vinnie;Vinnie;COCONUT;SEASHELLS;9994.0;10
34200;Ruby;Valentina;COCONUT_COUPON;SEASHELLS;630.0;20
35400;Valentina;Vinnie;COCONUT_COUPON;SEASHELLS;635.0;15
36000;Ruby;Valentina;COCONUT_COUPON;SEASHELLS;634.0;10
36200;Valentina;Rhianna;COCONUT_COUPON;SEASHELLS;634.0;5
36900;Valentina;Ruby;COCONUT_COUPON;SEASHELLS;634.0;15
37300;Valentina;Vinnie;COCONUT_COUPON;SEASHELLS;632.0;20
38800;Valentina;Vinnie;COCONUT_COUPON;SEASHELLS;638.0;11
39100;Valentina;Vinnie;COCONUT_COUPON;SEASHELLS;637.0;12
39700;Valentina;Valentina;COCONUT_COUPON;SEASHELLS;643.0;10
40800;Valentina;Vinnie;COCONUT_COUPON;SEASHELLS;636.0;16
41200;Vinnie;Vinnie;COCONUT;SEASHELLS;9981.0;9
41500;Ruby;Valentina;COCONUT_COUPON;SEASHELLS;638.0;16
41600;Vinnie;Vinnie;COCONUT;SEASHELLS;9978.0;10
42400;Vinnie;Vinnie;COCONUT;SEASHELLS;9979.0;8
42700;Vinnie;Vinnie;COCONUT;SEASHELLS;9978.0;5
42900;Vinnie;Vinnie;COCONUT;SEASHELLS;9975.0;5
43100;Raj;Vinnie;COCONUT;SEASHELLS;9974.0;8
43300;Vinnie;Vinnie;COCONUT;SEASHELLS;9975.0;9
43500;Valentina;Vinnie;COCONUT_COUPON;SEASHELLS;627.0;12
44000;Valentina;Valentina;COCONUT_COUPON;SEASHELLS;629.0;5
44600;Valentina;Vinnie;COCONUT_COUPON;SEASHELLS;627.0;13
44600;Ruby;Valentina;COCONUT_COUPON;SEASHELLS;628.0;19
45700;Valentina;Vinnie;COCONUT_COUPON;SEASHELLS;620.0;20
46300;Vinnie;Vinnie;COCONUT;SEASHELLS;9970.0;5
46400;Vinnie;Raj;COCONUT;SEASHELLS;9969.0;8
46600;Valentina;Vinnie;COCONUT_COUPON;SEASHELLS;616.0;16
47300;Ruby;Valentina;COCONUT_COUPON;SEASHELLS;615.0;14
47800;Ruby;Valentina;COCONUT_COUPON;SEASHELLS;614.0;13
47900;Ruby;Valentina;COCONUT_COUPON;SEASHELLS;614.0;16
48100;Ruby;Valentina;COCONUT_COUPON;SEASHELLS;615.0;10
48100;Raj;Vinnie;COCONUT;SEASHELLS;9969.0;8
48600;Vinnie;Vinnie;COCONUT;SEASHELLS;9964.0;5
49600;Valentina;Vinnie;COCONUT_COUPON;SEASHELLS;613.0;20
49900;Valentina;Ruby;COCONUT_COUPON;SEASHELLS;618.0;12
50600;Valentina;Vinnie;COCONUT_COUPON;SEASHELLS;616.0;13
51100;Valentina;Rhianna;COCONUT_COUPON;SEASHELLS;619.0;14
51300;Rhianna;Vinnie;COCONUT;SEASHELLS;9969.0;3
52200;Vinnie;Vinnie;COCONUT;SEASHELLS;9970.0;8
52500;Vinnie;Vinnie;COCONUT_COUPON;SEASHELLS;621.0;2
52800;Vinnie;Rhianna;COCONUT;SEASHELLS;9972.0;3
54100;Vinnie;Raj;COCONUT;SEASHELLS;9975.0;6
54200;Rhianna;Valentina;COCONUT_COUPON;SEASHELLS;622.0;4
54400;Valentina;Vinnie;COCONUT_COUPON;SEASHELLS;621.0;11
54400;Ruby;Valentina;COCONUT_COUPON;SEASHELLS;622.0;10
55300;Valentina;Vinnie;COCONUT_COUPON;SEASHELLS;625.0;15
55300;Vladimir;Vinnie;COCONUT_COUPON;SEASHELLS;625.0;1
55400;Vinnie;Rhianna;COCONUT;SEASHELLS;9974.0;3
56100;Ruby;Valentina;COCONUT_COUPON;SEASHELLS;628.0;11
56200;Vinnie;Vinnie;COCONUT;SEASHELLS;9973.0;9
56600;Ruby;Valentina;COCONUT_COUPON;SEASHELLS;626.0;13
57400;Valentina;Valentina;COCONUT_COUPON;SEASHELLS;622.0;6
57500;Valentina;Vinnie;COCONUT_COUPON;SEASHELLS;622.0;14
58000;Rhianna;Vinnie;COCONUT;SEASHELLS;9966.0;2
58800;Vinnie;Raj;COCONUT;SEASHELLS;9962.0;5
59000;Valentina;Vinnie;COCONUT_COUPON;SEASHELLS;617.0;17
